symptoms,disease
and covered in dry|and torso for the past few weeks it is red|i have been experiencing a skin rash on my arms|itchy|legs|psoriasis|scaly patches,Psoriasis
and scalp this peeling is often accompanied by a burning or stinging sensation|elbows|especially on my knees|my skin has been peeling|psoriasis,Psoriasis
and it gets worse when i move my joints|and knees the pain is often achy and throbbing|i have been experiencing joint pain in my fingers|psoriasis|wrists,Psoriasis
especially on my lower back and scalp this dusting is made up of small scales that flake off easily when i scratch them|psoriasis|there is a silver like dusting on my skin,Psoriasis
and they often feel inflammatory and tender to the touch even there are minor rashes on my arms|my nails have small dents or pits in them|psoriasis,Psoriasis
psoriasis|the skin on my palms and soles is thickened and has deep cracks these cracks are painful and bleed easily,Psoriasis
and eyes is red and inflamed it is often itchy and uncomfortable there is a noticeable inflammation in my nails|nose|psoriasis|the skin around my mouth,Psoriasis
my skin is very sensitive and reacts easily to changes in temperature or humidity i often have to be careful about what products i use on my skin|psoriasis,Psoriasis
i face severe joint pain and skin rashes|i have noticed a sudden peeling of skin at different parts of my body|legs and back also|mainly arms|psoriasis,Psoriasis
and uncomfortable there are rashes on different parts of the body too|burning|psoriasis|the skin on my genitals is red and inflamed it is often itchy,Psoriasis
even after a good night s sleep|i have experienced fatigue and a general feeling of malaise i often feel tired and have a lack of energy|psoriasis,Psoriasis
and it is often worse at night i am also facing skin peeling|including my chest and abdomen it is itchy and uncomfortable|psoriasis|the rash on my skin has spread to other parts of my body,Psoriasis
psoriasis|the rash on my skin is worse in the winter months when the air is dry i find that i have to moisturize more frequently and use humidifiers to keep my skin hydrated,Psoriasis
i have experienced difficulty sleeping due to the itching and discomfort caused by the rash there are small dents in my nails|psoriasis|which is really concerning,Psoriasis
flaky patches i am experiencing a strong pain in my joints the skin on my knees and elbows is starting to peel off|my skin is prone to infections due to dry|psoriasis,Psoriasis
i am starting to have rashes on my skin the rash often bleeds when i scratch or rub it moreover|i have noticed small dents in my nails|psoriasis,Psoriasis
especially on my back and elbows|i have noticed that my skin has become more sensitive than it used to be there is a silver like dusting on my skin|psoriasis,Psoriasis
elbow and knee i have developed rashes on my arms|i am worried about the constant peeling of the skin on my palm|psoriasis|which itch if i touch them all of these are making my life quite discomforting and miserable,Psoriasis
i have noticed strange peeling of skin in different parts of my body i am afraid there is something wrong going on with my body|psoriasis|there is strange pain in my joints also,Psoriasis
my nails have small dents on them even my joints have started to pain severely there is a silver like dusting on my skin|particularly in my back|psoriasis,Psoriasis
especially the skin on my elbows and knees i am really worried about this|i have noticed a sudden peeling of the skin|psoriasis|the rashes on my skin are not healing moreover,Psoriasis
and chest it s red and irritating|for the past few weeks|i ve had a skin rash on my arms|legs|psoriasis|scaly spots i have a strange pain in my joints too|with dry,Psoriasis
and scalp this peeling is frequently accompanied by a stinging or burning feeling|elbows|my skin is peeling|particularly on my knees|psoriasis,Psoriasis
and it worsens when i move my joints|and knees the pain is frequently aching and throbbing|i m having joint discomfort in my fingers|psoriasis|wrists,Psoriasis
arms and scalp this dusting is composed of tiny scales that easily peel off when scratched|my skin has a silvery film|particularly on my back|psoriasis,Psoriasis
and eyes it is frequently irritating and unpleasant recently|i have red and inflammatory skin around my mouth|it has got very painful|nose|psoriasis,Psoriasis
my skin is extremely sensitive and quickly irritated by changes in temperature or humidity my nails have developed dents on them i am worried about this sudden change|psoriasis,Psoriasis
and back in addition|i have significant joint pain and skin rashes the rash is spreading to different parts of my body|i ve seen a sudden peeling of skin on various regions of my body|legs|mostly my arms|psoriasis,Psoriasis
and unpleasant there are also rashes in various places of the body also|burning|i have a strange pain in my joints|my genital skin is red and irritated it is frequently irritating|psoriasis,Psoriasis
i ve had trouble sleeping because of the itching and pain produced by the rash my nails have little dents|psoriasis|which is really alarming there is a noticeable inflammation in my nails,Psoriasis
because of dry|flaky areas on my skin|i am prone to infections my joints are in excruciating agony the skin on my knees and elbows is beginning to flake|psoriasis,Psoriasis
i ve observed little dents in my nails there is a noticeable inflammation in my nails|it frequently bleeds in addition|my skin is breaking out in rashes when i scratch or rub the rash|psoriasis,Psoriasis
especially on my back and elbows|i ve observed that my skin is more sensitive now than it used to be my skin has a silvery film|psoriasis,Psoriasis
my palms and soles have grown and developed severe fissures these cracks are unpleasant and frequently bleed also|psoriasis|the skin is starting to peel off,Psoriasis
my joints pain and there are rashes on my arms and back|my nails are starting to have small pits on them i am worried and don t know what is causing it also|psoriasis,Psoriasis
psoriasis|the skin on my arms and back are starting to peel off this is strange and really concerning me|there is a silver like dusting on my skin moreover,Psoriasis
and it is frequently worst at night i m also experiencing skin flaking|including my chest and belly it is irritating and unpleasant|my skin rash has extended to other areas of my body|psoriasis,Psoriasis
i have to moisturize more regularly and use humidifiers i am also facing joint pain|my skin rash gets worse in the winter when the air is dry to keep my skin moisturized|psoriasis,Psoriasis
i ve had trouble sleeping because of the itching and pain produced by the rash my nails have little dents i am also experiencing skin peeling in different parts of my body|psoriasis,Psoriasis
and arms this peeling is often accompanied by a painful or burning sensation i am also developing small dents on my nails|elbows|especially on my knees|my skin is peeling in places|psoriasis|which is really concerning,Psoriasis
especially on my back and arms this dusting is made up of small scales that peel off readily when rubbed also|my skin has a silvery layer over it|psoriasis|there are rashes all over my body,Psoriasis
face and back are all red and irritated it is frequently irritating and unpleasant my nails have a strange inflammation and have developed small dents i have never seen anything like this|my arms|psoriasis,Psoriasis
i ve had trouble sleeping because of the itching and pain produced by the rash my nails have little dents|my joints pain everyday and i have no idea what is causing it|psoriasis|which is really alarming moreover,Psoriasis
my fingers and soles have pretty thick skin that is cracked severely these fractures hurt and bleed frequently the fractures are itchy and covered with scales|psoriasis,Psoriasis
elbows and knees|especially on my back|my skin has changed from being less sensitive to being more sensitive my skin has a silvery coating|psoriasis,Psoriasis
especially on my back and elbows|my nails are slightly dented even my joints are now experiencing excruciating discomfort my skin has a silver-like powder|psoriasis,Psoriasis
i ve had trouble falling asleep because of the rash s pain and itching the skin on my fingers are starting to peel off my nails have a few tiny cracks|psoriasis|which is really worrying,Psoriasis
i ve experienced weird skin peeling in various places on my body i m concerned that something is wrong with my body|my joints are experiencing an unusual discomfort additionally|psoriasis,Psoriasis
i am starting to have rashes on my arms and neck the rash often bleeds and hurts when i scratch it i have also developed small dents in my nails|psoriasis|which is very strange,Psoriasis
because of dry|flaky areas on my skin|i am prone to infections my joints are in extreme pain my knees and elbows skin are starting to peel off|psoriasis,Psoriasis
i have a rash on my legs that is causing a lot of discomforts it seems there is a cramp and i can see prominent veins on the calf also|i have been feeling very tired and fatigued in the past couple of days|varicose veins,Varicose Veins
my calves have been cramping up when i walk or stand for long periods of time there are bruise marks on my calves|varicose veins|which is making me worried i feel tired very soon,Varicose Veins
i am slightly obese and i am really worried|there is bruising on my legs that i cannot explain i can see strange blood vessels below the skin also|varicose veins,Varicose Veins
i am overweight and have noticed that my legs are swollen and the blood vessels are visible my legs have swollen and i can see a stream of swollen veins on my calves|varicose veins,Varicose Veins
as it causes pain in my legs|similar to cramps|the veins on my calves have become very prominent and causing discomfort i can t stand for long periods of time|varicose veins,Varicose Veins
